id_atleta,score,justificativa,atleta,clube,posicao
2,87,"Volume ofensivo muito alto, alta regularidade e baixo risco disciplinar, compensando a alta dificuldade de negociação.",Estêvão,Palmeiras,Meio-campo
7,84,"Alto volume ofensivo com regularidade constante e total independência de pênaltis, além de viabilidade média de negociação.",Pablo Vegetti,Vasco,Atacante
12,83,"Volume ofensivo muito alto e regularidade constante, com negociação intermediária, atenuando o risco disciplinar elevado.",Yuri Alberto,Corinthians,Atacante
1,81,"Volume ofensivo muito alto, baixo risco disciplinar e boa acessibilidade no mercado, embora dependa consideravelmente de pênaltis.",Alerrandro Barra Mansa Realino de Souza,Vitoria,Atacante
11,75,"Alto volume ofensivo, regularidade constante e independência total de pênaltis, mas penalizado pela disciplina e complexidade de saída.",Wesley Ribeiro Silva,Internacional,Meio-campo
5,73,"Excelente disciplina e regularidade constante em alto nível, com volume ofensivo basal e negociação custosa.",Lucas Moura,Sao Paulo,Meio-campo
4,73,"Constante ao longo do ano e independente de pênaltis, porém com volume na faixa piso e alta exigência negocial.",José Manuel Alberto López,Palmeiras,Atacante
6,71,"Bom volume de gols e consistência na temporada, mas perde pontos pelo alto risco disciplinar e negociação complexa.",Luciano da Rocha Neves,Sao Paulo,Meio-campo
8,69,"Alto volume ofensivo e disciplina exemplar, mas impactado por dependência de pênaltis e barreira negocial máxima.",Pedro,Flamengo,Atacante
10,67,"Baixa dependência de pênaltis e negociação viável, contudo apresenta volume ofensivo basal e regularidade média.",Rodrigo Garro,Corinthians,Meio-campo
9,65,"Apresenta alto volume de gols, porém alta dependência de penalidades máximas e elevada dificuldade de contratação.",Raphael Veiga,Palmeiras,Meio-campo
3,62,"Menor pontuação devido ao volume ofensivo na base da amostra, forte dependência de pênaltis e regularidade apenas média.",Hulk,Atletico-MG,Atacante
