id_atleta,score,justificativa,atleta,clube,posicao
2,86,"Volume ofensivo máximo, regularidade ao longo do ano e baixo risco disciplinar, compensando a alta dificuldade de negociação.",Estêvão,Palmeiras,Meio-campo
7,83,"Alto volume ofensivo, total independência de pênaltis e regularidade constante, com negociação de complexidade intermediária.",Pablo Vegetti,Vasco,Atacante
12,81,"Volume ofensivo muito alto e regularidade constante, com facilidade média de mercado, apesar do risco disciplinar elevado.",Yuri Alberto,Corinthians,Atacante
1,79,"Volume ofensivo no teto e perfil disciplinar limpo, embora tenha dependência alta de penalidades.",Alerrandro Barra Mansa Realino de Souza,Vitoria,Atacante
5,72,"Excelente regularidade e disciplina impecável, penalizado pelo custo e complexidade de saída do clube atual.",Lucas Moura,Sao Paulo,Meio-campo
11,72,"Alto volume sem depender de pênaltis e participação constante, mas perde pontos pelo risco de cartões e negociação difícil.",Wesley Ribeiro Silva,Internacional,Meio-campo
4,70,"Produção constante com zero dependência de pênaltis, atenuada pelo volume base menor e alta dificuldade no mercado.",José Manuel Alberto López,Palmeiras,Atacante
6,68,"Bom volume e constância ofensiva, porém fortemente penalizado pelo alto número de cartões e entraves negociais.",Luciano da Rocha Neves,Sao Paulo,Meio-campo
8,67,"Excelente presença ofensiva e baixa indisciplina, mas afetado pela alta dependência de pênaltis e negociação quase inviável.",Pedro,Flamengo,Atacante
10,66,"Desempenho estável e boa taxa de gols com bola rolando, com score moderado pelo piso de volume ofensivo da base.",Rodrigo Garro,Corinthians,Meio-campo
9,62,"Alto volume bruto, mas com grande dependência de pênaltis, regularidade intermediária e negociação cara e complexa.",Raphael Veiga,Palmeiras,Meio-campo
3,60,"Volume ofensivo no piso da amostra, dependência alta de penalidades e oscilação de regularidade durante o campeonato.",Hulk,Atletico-MG,Atacante
